Question	Expected Framework	Expected Document	Expected Answer
On RM6281 is there provision for transfer fees?	RM6281	RM6281 Transfer Fees Guidance	
What agreement is RM6281 and what does it cover?	RM6281	RM6281 Web Page	
What roles are covered under RM6281?	RM6281	RM6281 Job roles per lot v1.1	
Who can use RM6277?	RM6277	RM6277 Web Page	
What framework agreements cover workforce?	RM6348,RM6002,RM6013,RM6277,RM6281,RM6278,RM6163,RM6162		
What agreements can I use for fleet vehicles?	9 in total (to add)		
How can I buy from RM6268	RM6268		
I want to buy body-worn cameras for traffic wardens, what agreement should I use?	RM6347		
I'm based in Northern Ireland, are there different rules for using RM6268?	RM6268	RM6268 Call-off Schedule 21 Northern Ireland law v1.0	
I need to buy in some internal audit capability, which agreement is best for me?	RM6310		
I run a rural midwifery service and need some vehicles for midwives to do home visits. Is this possible on one of your commercial agreements?	RM6244	RM6244 Web Page	
What agreements are available to buy cloud infrastructure support services from?	RM6292		
How can I find the right supplier on the G-Cloud agreement?	RM1557		
Is there an option to direct award on the audit and assurance agreement?	RM6310	RM6310 Web Page	
I'm planning a large construction project of a hospital. What agreement can I use to source construction services?	RM6165,RM6242,RM6088		
X agreement has expired, what is the replacement?			
